X 範: XGBoost_score,計數,比例(%),平均(bps),中位數(bps),標準差(bps)
"(-0.0064, -0.0040]",88503,9.77,-51.4978,-75.3296,381.6625
"(-0.0040, -0.0035]",89225,9.85,-38.283,-60.7903,326.199
"(-0.0035, -0.0031]",89071,9.83,-33.8749,-51.8135,287.4534
"(-0.0031, -0.0027]",89213,9.85,-31.1305,-45.5581,263.0258
"(-0.0027, -0.0024]",89358,9.87,-25.8783,-37.8788,242.3906
"(-0.0024, -0.0020]",88932,9.82,-22.1203,-31.9319,218.7698
"(-0.0020, -0.0017]",89058,9.83,-18.5021,-26.0586,200.0552
"(-0.0017, -0.0013]",89227,9.85,-13.4022,-17.8571,181.6035
"(-0.0013, -8.46e-04]",89069,9.83,-8.3906,-11.7233,165.2868
"(-8.46e-04, 0.0016]",89786,9.91,-5.3284,0.0,135.6226
nan,14270,1.58,,,
All Cases,891442,98.42,-24.8104,-30.2115,251.0398
