X 範: XGBoost_score,計數,比例(%),平均(bps),中位數(bps),標準差(bps)
"(-0.0096, -0.0045]",88465,9.77,-53.2146,-74.184,397.1005
"(-0.0045, -0.0036]",89190,9.85,-41.6777,-64.8649,319.5388
"(-0.0036, -0.0031]",89035,9.83,-34.5491,-54.0541,285.5047
"(-0.0031, -0.0027]",89177,9.85,-30.332,-46.5116,260.3159
"(-0.0027, -0.0023]",89321,9.87,-26.7039,-40.2685,235.7626
"(-0.0023, -0.0019]",88895,9.82,-23.3243,-34.8432,214.609
"(-0.0019, -0.0015]",89022,9.83,-18.1643,-27.0636,196.5872
"(-0.0015, -0.0010]",89189,9.85,-13.7319,-19.5695,177.7446
"(-0.0010, -3.56e-04]",89037,9.83,-6.3617,0.0,157.7672
"(-3.56e-04, 0.0060]",89747,9.91,-1.3377,0.0,150.7378
nan,14268,1.58,,,
All Cases,891078,98.42,-24.9055,-30.303,250.9855
